Funds,FundManager,Category,RupeeVestRating,AUM,ExpenseRatio,FundType,InceptionDate,BenchmarkIndex, NAV , 52WeekHigh, 52WeekLow,Return1mo,Return3mo,Return6mo,Return1yr,Return2yrs,Return3yrs,Return5yrs,Return10yrs,TurnoverRatio, NoofStocks,AvgMarketCap,LargeCap,MidCap,SmallCap,HighestSector,AvgMaturity,ModDuration,YieldToMaturity,Alpha,Sharpe,Sortino,Beta,StandardDeviation,classification,ExitloadRemarks
HDFC FMP-Sr 42-1105D-Aug 2018(1)-Reg(G),Anupam Joshi,DT-FMP,Unrated,323.6,-,Closed Ended,8-Aug-18,Crisil Composite Bond Fund Index,12.44,12.44,11.56,0.39,0.93,2.17,7.79,8.29,-,-,-,0,-,-,-,-,-,-,2.81,-,-,4.86,6.96,17.37,-,0.7,Debt : FTP/FMP,null
HDFC FMP-Sr 42-1105D-Aug 2018(2)-Reg(G),Anupam Joshi,DT-FMP,Unrated,285.6,-,Closed Ended,29-Aug-18,Crisil Composite Bond Fund Index,12.37,12.37,11.55,0.37,0.88,1.94,7.31,8,-,-,-,0,-,-,-,-,-,-,2.78,-,-,4.38,6.58,17.91,-,0.67,Debt : FTP/FMP,null
HDFC FMP-Sr 42-1113D-Aug 2018(1)-Reg(G),Anupam Joshi,DT-FMP,Unrated,73.3,-,Closed Ended,14-Aug-18,Crisil Composite Bond Fund Index,12.43,12.43,11.45,0.38,0.97,2.38,8.8,8.35,-,-,-,0,-,-,-,-,-,-,2.79,-,-,5.8,7.9,20.48,-,0.73,Debt : FTP/FMP,null
HDFC FMP-Sr 42-1115D-Sep 2018(1)-Reg(G),Anupam Joshi,DT-FMP,Unrated,181.6,-,Closed Ended,12-Sep-18,Crisil Composite Bond Fund Index,12.43,12.43,11.59,0.37,0.87,1.97,7.39,8.05,-,-,-,0,-,-,-,-,-,-,2.84,-,-,4.46,6.56,17.38,-,0.68,Debt : FTP/FMP,null
HDFC FMP-Sr 42-1122D-Aug 2018(1)-Reg(G),Anupam Joshi,DT-FMP,Unrated,238.3,-,Closed Ended,5-Sep-18,Crisil Composite Bond Fund Index,12.36,12.36,11.55,0.37,0.87,1.98,7.2,7.89,-,-,-,0,-,-,-,-,-,-,2.72,-,-,4.28,6.69,17.24,-,0.64,Debt : FTP/FMP,null
HDFC FMP-Sr 42-1141D-Aug 2018(1)-Reg(G),Anupam Joshi,DT-FMP,Unrated,268.9,-,Closed Ended,14-Aug-18,Crisil Composite Bond Fund Index,12.56,12.56,11.12,0.76,2.43,5.35,12.4,9.64,-,-,-,0,-,-,-,-,-,-,2.87,-,-,9.07,7.3,11.12,-,1.24,Debt : FTP/FMP,null
HDFC FMP-Sr 42-1372D-Sep 2018(1)-Reg(G),Anupam Joshi,DT-FMP,Unrated,153.6,-,Closed Ended,27-Sep-18,Crisil Composite Bond Fund Index,12.71,12.71,11.66,0.59,0.89,2.26,9.14,9.08,-,-,-,0,-,-,-,-,-,-,2.84,-,-,6.07,5.81,13.26,-,1.06,Debt : FTP/FMP,null
HDFC FMP-Sr 42-1381D-Sep 2018(1)-Reg(G),Anupam Joshi,DT-FMP,Unrated,384.6,-,Closed Ended,19-Sep-18,Crisil Composite Bond Fund Index,12.76,12.76,11.69,0.63,0.88,2.36,9.33,9.21,-,-,-,0,-,-,-,-,-,-,3.49,-,-,6.2,5.65,12.6,-,1.11,Debt : FTP/FMP,null
HDFC FMP-Sr 42-1487-Aug 2018(1)-Reg(G),Anupam Joshi,DT-FMP,Unrated,760.4,-,Closed Ended,3-Sep-18,Crisil Composite Bond Fund Index,12.69,12.69,11.17,0.97,2.31,5.58,12.7,10.32,-,-,-,0,-,-,-,-,-,-,3.36,-,-,9.35,5.12,7.96,-,1.83,Debt : FTP/FMP,null
HDFC FMP-Sr 43-1146D-Feb 2019(1)-Reg(G),Anil Bamboli,DT-FMP,Unrated,46.7,-,Closed Ended,20-Feb-19,Crisil Composite Bond Fund Index,12.09,12.09,11.07,0.64,0.95,2.34,9.35,8.99,-,-,-,-,-,-,-,-,-,-,-,-,-,6.25,5.84,12.73,-,1.08,Debt : FTP/FMP,null
HDFC FMP-Sr 43-1154D-Feb 2019(1)-Reg(G),Anil Bamboli,DT-FMP,Unrated,81,-,Closed Ended,12-Feb-19,Crisil Composite Bond Fund Index,12.08,12.08,11.07,0.63,0.93,2.31,9.29,8.96,-,-,-,-,-,-,-,-,-,-,-,-,-,6.2,5.77,12.41,-,1.09,Debt : FTP/FMP,null
HDFC FMP-Sr 43-1168D-Jan 2019(1)-Reg(G),Anil Bamboli,DT-FMP,Unrated,42.7,-,Closed Ended,29-Jan-19,Crisil Composite Bond Fund Index,12.16,12.16,11.14,0.66,0.95,2.36,9.33,8.99,-,-,-,-,-,-,-,-,-,-,-,-,-,6.25,5.79,12.45,-,1.09,Debt : FTP/FMP,null
HDFC FMP-Sr 43-1175D-Jan 2019(1)-Reg(G),Anil Bamboli,DT-FMP,Unrated,54.3,-,Closed Ended,22-Jan-19,Crisil Composite Bond Fund Index,12.18,12.18,11.14,0.66,0.96,2.36,9.44,9.05,-,-,-,-,-,-,-,-,-,-,-,-,-,6.35,5.81,12.59,-,1.1,Debt : FTP/FMP,null
HDFC FMP-Sr 43-1182D-Jan 2019(1)-Reg(G),Anil Bamboli,DT-FMP,Unrated,158.3,-,Closed Ended,16-Jan-19,Crisil Composite Bond Fund Index,12.22,12.22,11.18,0.66,0.96,2.36,9.39,9.07,-,-,-,-,-,-,-,-,-,-,-,-,-,6.3,5.79,12.58,-,1.1,Debt : FTP/FMP,null
HDFC FMP-Sr 43-1190D-Jan 2019(1)-Reg(G),Anil Bamboli,DT-FMP,Unrated,90.4,-,Closed Ended,8-Jan-19,Crisil Composite Bond Fund Index,12.24,12.24,11.21,0.65,1,2.38,9.35,9.03,-,-,-,-,-,-,-,-,-,-,-,-,-,6.25,5.96,13.06,-,1.06,Debt : FTP/FMP,null
HDFC FMP-Sr 43-1196D-Dec 2018(1)-Reg(G),Anil Bamboli,DT-FMP,Unrated,28.8,-,Closed Ended,2-Jan-19,Crisil Composite Bond Fund Index,12.25,12.25,11.22,0.62,0.98,2.35,9.35,8.99,-,-,-,-,-,-,-,-,-,-,-,-,-,6.25,5.73,12.01,-,1.1,Debt : FTP/FMP,null
HDFC FMP-Sr 43-1203D-Dec 2018(1)-Reg(G),Anil Bamboli,DT-FMP,Unrated,71.5,-,Closed Ended,26-Dec-18,Crisil Composite Bond Fund Index,12.27,12.27,11.25,0.64,0.95,2.35,9.19,9.02,-,-,-,-,-,-,-,-,-,-,-,-,-,6.12,5.79,12.74,-,1.07,Debt : FTP/FMP,null
HDFC FMP-Sr 43-1211D-Dec 2018(1)-Reg(G),Anil Bamboli,DT-FMP,Unrated,26.8,-,Closed Ended,18-Dec-18,Crisil Composite Bond Fund Index,12.29,12.29,11.29,0.63,0.94,2.32,9.02,8.96,-,-,-,-,-,-,-,-,-,-,-,-,-,5.95,5.68,12.42,-,1.06,Debt : FTP/FMP,null
HDFC FMP-Sr 43-1218D-Dec 2018(1)-Reg(G),Anil Bamboli,DT-FMP,Unrated,53.6,-,Closed Ended,11-Dec-18,Crisil Composite Bond Fund Index,12.36,12.36,11.34,0.64,0.93,2.32,9.12,9.02,-,-,-,-,-,-,-,-,-,-,-,-,-,6.05,5.64,12.16,-,1.08,Debt : FTP/FMP,null
HDFC FMP-Sr 43-1224D-Dec 2018(1)-Reg(G),Anil Bamboli,DT-FMP,Unrated,141.4,-,Closed Ended,5-Dec-18,Crisil Composite Bond Fund Index,12.33,12.33,11.33,0.59,0.92,2.28,9.02,8.93,-,-,-,-,-,-,-,-,-,-,-,-,-,5.95,5.5,11.8,-,1.1,Debt : FTP/FMP,null
HDFC FMP-Sr 43-1232D-Nov 2018(1)-Reg(G),Anil Bamboli,DT-FMP,Unrated,615.3,-,Closed Ended,27-Nov-18,Crisil Composite Bond Fund Index,12.45,12.45,11.41,0.61,0.94,2.32,9.21,9.08,-,-,-,-,-,-,-,-,-,-,-,-,-,6.12,5.73,12.34,-,1.08,Debt : FTP/FMP,null
HDFC FMP-Sr 43-1246D-Nov 2018(1)-Reg(G),Anil Bamboli,DT-FMP,Unrated,344.6,-,Closed Ended,19-Nov-18,Crisil Composite Bond Fund Index,12.47,12.47,11.45,0.57,0.93,2.32,9.15,9.06,-,-,-,-,-,-,-,-,-,-,-,-,-,6.07,5.91,13.91,-,1.04,Debt : FTP/FMP,null
HDFC FMP-Sr 43-1260D-Oct 2018(1)-Reg(G),Anil Bamboli,DT-FMP,Unrated,62.8,-,Closed Ended,30-Oct-18,Crisil Composite Bond Fund Index,12.57,12.57,11.58,0.56,0.89,2.22,8.66,8.9,-,-,-,-,-,-,-,-,-,-,-,-,-,5.62,5.74,13.26,-,0.99,Debt : FTP/FMP,null
HDFC FMP-Sr 43-1261D-Oct 2018(1)-Reg(G),Anil Bamboli,DT-FMP,Unrated,227.8,-,Closed Ended,25-Oct-18,Crisil Composite Bond Fund Index,12.47,12.48,11.64,0.37,0.78,1.99,7.54,8.61,-,-,-,-,-,-,-,-,-,-,-,-,-,4.66,3.46,7.72,-,1.38,Debt : FTP/FMP,null
HDFC FMP-Sr 43-1265D-Oct 2018(1)-Reg(G),Anil Bamboli,DT-FMP,Unrated,164,-,Closed Ended,31-Oct-18,Crisil Composite Bond Fund Index,12.54,12.54,11.51,0.58,0.95,2.33,9.14,8.91,-,-,-,-,-,-,-,-,-,-,-,-,-,6.1,5.86,13.22,-,1.05,Debt : FTP/FMP,null
HDFC FMP-Sr 43-1274D-Oct 2018(1)-Reg(G),Anil Bamboli,DT-FMP,Unrated,316.6,-,Closed Ended,16-Oct-18,Crisil Composite Bond Fund Index,12.59,12.59,11.58,0.54,0.92,2.27,8.91,8.92,-,-,-,-,-,-,-,-,-,-,-,-,-,5.85,5.82,13.35,-,1.02,Debt : FTP/FMP,null
HDFC FMP-Sr 43-1280D-Oct 2018(1)-Reg(G),Anil Bamboli,DT-FMP,Unrated,117.6,-,Closed Ended,10-Oct-18,Crisil Composite Bond Fund Index,12.61,12.61,11.59,0.56,0.94,2.28,9.02,8.95,-,-,-,-,-,-,-,-,-,-,-,-,-,5.92,5.83,13.53,-,1.03,Debt : FTP/FMP,null
HDFC FMP-Sr 43-1344D-Oct 2018(1)-Reg(G),Anil Bamboli,DT-FMP,Unrated,77.8,-,Closed Ended,23-Oct-18,Crisil Composite Bond Fund Index,12.66,12.66,11.34,0.76,1.55,4.14,10.47,9.73,-,-,-,-,-,-,-,-,-,-,-,-,-,7.33,5.23,7.72,-,1.4,Debt : FTP/FMP,null
HDFC FMP-Sr 44-1100D-Apr 2019(1)-Reg(G),Shobhit Mehrotra,DT-FMP,Unrated,48.2,-,Closed Ended,7-May-19,Crisil Composite Bond Fund Index,11.88,11.88,10.9,0.56,0.85,2.18,9.23,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6.15,5.5,11.21,-,1.13,Debt : FTP/FMP,null
HDFC FMP-Sr 44-1118D-Mar 2019(1)-Reg(G),Shobhit Mehrotra,DT-FMP,Unrated,281.8,-,Closed Ended,27-Mar-19,Crisil Composite Bond Fund Index,11.91,11.91,10.94,0.59,0.9,2.24,9.03,9.01,-,-,-,-,-,-,-,-,-,-,-,-,-,5.95,5.38,11.12,-,1.12,Debt : FTP/FMP,null
HDFC FMP-Sr 44-1120D-Mar 2019(1)-Reg(G),Shobhit Mehrotra,DT-FMP,Unrated,175.1,-,Closed Ended,25-Mar-19,Crisil Composite Bond Fund Index,11.87,11.87,10.9,0.58,0.9,2.23,9.02,8.79,-,-,-,-,-,-,-,-,-,-,-,-,-,5.95,5.39,11.21,-,1.12,Debt : FTP/FMP,null
HDFC FMP-Sr 44-1126D-March 2019(1)-Reg(G),Shobhit Mehrotra,DT-FMP,Unrated,410.1,-,Closed Ended,12-Mar-19,Crisil Composite Bond Fund Index,12.01,12.01,11,0.64,0.94,2.33,9.38,8.99,-,-,-,-,-,-,-,-,-,-,-,-,-,6.3,5.79,12.26,-,1.1,Debt : FTP/FMP,null
HDFC FMP-Sr 44-1127D-March 2019(1)-Reg(G),Shobhit Mehrotra,DT-FMP,Unrated,61.7,-,Closed Ended,18-Mar-19,Crisil Composite Bond Fund Index,11.92,11.92,10.94,0.6,0.92,2.27,9.16,8.86,-,-,-,-,-,-,-,-,-,-,-,-,-,6.1,5.61,11.59,-,1.1,Debt : FTP/FMP,null
HDFC FMP-Sr 44-1133D-Feb 2019(1)-Reg(G),Shobhit Mehrotra,DT-FMP,Unrated,285.4,-,Closed Ended,5-Mar-19,Crisil Composite Bond Fund Index,12.04,12.04,11.04,0.6,0.91,2.28,9.25,8.95,-,-,-,-,-,-,-,-,-,-,-,-,-,6.2,5.61,11.71,-,1.12,Debt : FTP/FMP,null
HDFC FMP-XXVII-1846D-Aug 2013(1)-Reg(G),Anil Bamboli,DT-FMP,Unrated,232.1,-,Closed Ended,14-Aug-13,Crisil Composite Bond Fund Index,19.43,19.43,17.11,0.96,2.45,5.6,12.69,10.38,9.2,8.29,-,0,-,-,-,-,-,-,3.28,-,-,9.32,5.08,7.87,-,1.84,Debt : FTP/FMP,null
HDFC FMP-XXX-3360D-Mar 2014(1)-Reg(G),Shobhit Mehrotra,DT-FMP,Unrated,700.5,-,Closed Ended,26-Mar-14,Crisil Composite Bond Fund Index,16.8,16.82,15.62,0.65,0.38,2.12,8.13,9.13,8.79,8.41,-,0,-,-,-,-,-,-,4.33,-,-,5.39,3.01,6.49,-,1.83,Debt : FTP/FMP,null
HDFC FMP-XXXIX-1143D-March 2018(1)-Reg(G),Anupam Joshi,DT-FMP,Unrated,848.5,-,Closed Ended,12-Mar-18,Crisil Composite Bond Fund Index,12.48,12.48,11.76,0.27,0.79,1.72,6.18,7.42,7.33,-,-,0,-,-,-,-,-,-,2.46,-,-,3.3,5.7,15.33,-,0.58,Debt : FTP/FMP,null
HDFC FMP-XXXIX-1145D-March 2018(1)-Reg(G),Anupam Joshi,DT-FMP,Unrated,336,-,Closed Ended,23-Mar-18,Crisil Composite Bond Fund Index,12.44,12.44,11.72,0.28,0.8,1.73,6.22,7.45,7.35,-,-,0,-,-,-,-,-,-,2.48,-,-,3.35,5.91,15.03,-,0.57,Debt : FTP/FMP,null
HDFC FMP-XXXIX-1147D-March 2018(1)-Reg(G),Anupam Joshi,DT-FMP,Unrated,711.2,-,Closed Ended,21-Mar-18,Crisil Composite Bond Fund Index,12.45,12.45,11.73,0.29,0.81,1.75,6.29,7.47,7.37,-,-,0,-,-,-,-,-,-,2.49,-,-,3.43,6.05,17.05,-,0.57,Debt : FTP/FMP,null
HDFC FMP-XXXIX-1150D-March 2018(1)-Reg(G),Anupam Joshi,DT-FMP,Unrated,202.6,-,Closed Ended,7-Mar-18,Crisil Composite Bond Fund Index,12.46,12.46,11.8,0.26,0.77,1.63,5.68,7.16,7.16,-,-,0,-,-,-,-,-,-,2.35,-,-,2.8,5.39,14.45,-,0.52,Debt : FTP/FMP,null
HDFC FMP-XXXIX-1158D-Feb 2018(1)-Reg(G),Anupam Joshi,DT-FMP,Unrated,1070.3,-,Closed Ended,27-Feb-18,Crisil Composite Bond Fund Index,12.55,12.55,11.87,0.27,0.79,1.68,5.84,7.32,7.32,-,-,0,-,-,-,-,-,-,2.39,-,-,2.95,5.53,14.77,-,0.54,Debt : FTP/FMP,null
HDFC FMP-XXXIX-1177D-March 2018(1)-Reg(G),Anupam Joshi,DT-FMP,Unrated,690.2,-,Closed Ended,28-Mar-18,Crisil Composite Bond Fund Index,12.7,12.7,11.45,0.56,1.86,4.1,10.63,8.98,8.12,-,-,0,-,-,-,-,-,-,2.53,-,-,7.48,7.72,12.77,-,0.97,Debt : FTP/FMP,null
HDFC FMP-XXXIX-1183D-April 2018(1)-Reg(G),Anupam Joshi,DT-FMP,Unrated,265,-,Closed Ended,16-Apr-18,Crisil Composite Bond Fund Index,12.39,12.39,11.67,0.3,0.83,1.76,6.29,7.52,-,-,-,0,-,-,-,-,-,-,2.58,-,-,3.4,5.94,16.15,-,0.57,Debt : FTP/FMP,null
HDFC FMP-XXXIX-1208D-March 2018(1)-Reg(G),Anupam Joshi,DT-FMP,Unrated,684.7,-,Closed Ended,16-Mar-18,Crisil Composite Bond Fund Index,12.8,12.8,11.5,0.63,2.04,4.46,11.07,9.46,8.25,-,-,0,-,-,-,-,-,-,2.58,-,-,7.94,7.98,13.57,-,0.99,Debt : FTP/FMP,null
HDFC FMP-XXXVIII-1430D-July 2017(1)-Reg(G),Shobhit Mehrotra,DT-FMP,Unrated,135.2,-,Closed Ended,1-Aug-17,Crisil Composite Bond Fund Index,12.83,12.83,12.1,0.3,0.84,1.79,6.19,7.46,7.48,-,-,0,-,-,-,-,-,-,2.55,-,-,3.33,6.27,17.69,-,0.53,Debt : FTP/FMP,null
HDFC FMP-XXXX-1119D-June 2018(1)-Reg(G),Anil Bamboli,DT-FMP,Unrated,115,-,Closed Ended,8-Jun-18,Crisil Composite Bond Fund Index,12.56,12.56,11.77,0.34,0.91,1.94,6.84,7.83,-,-,-,0,-,-,-,-,-,-,2.66,-,-,3.96,6.98,20.15,-,0.57,Debt : FTP/FMP,null
HDFC FMP-XXXX-1134D-May 2018(1)-Reg(G),Anil Bamboli,DT-FMP,Unrated,255.7,-,Closed Ended,23-May-18,Crisil Composite Bond Fund Index,12.56,12.56,11.82,0.31,0.88,1.91,6.44,7.71,-,-,-,0,-,-,-,-,-,-,2.61,-,-,3.55,6.39,16.6,-,0.56,Debt : FTP/FMP,null
HDFC FMP-XXXX-1146D-April 2018(1)-Reg(G),Anil Bamboli,DT-FMP,Unrated,378.5,-,Closed Ended,10-May-18,Crisil Composite Bond Fund Index,12.41,12.41,11.24,0.53,1.69,3.93,10.13,8.15,-,-,-,0,-,-,-,-,-,-,2.52,-,-,7.11,7.18,11.68,-,0.98,Debt : FTP/FMP,null
HDFC FMP-XXXX-1181D-April 2018(1)-Reg(G),Anil Bamboli,DT-FMP,Unrated,173.8,-,Closed Ended,26-Apr-18,Crisil Composite Bond Fund Index,12.54,12.54,11.79,0.3,0.83,1.8,6.48,7.6,-,-,-,0,-,-,-,-,-,-,2.61,-,-,3.58,6.17,16.55,-,0.59,Debt : FTP/FMP,null
HDFC FMP-XXXX-1434D-May 2018(1)-Reg(G),Anil Bamboli,DT-FMP,Unrated,60.4,-,Closed Ended,9-May-18,Crisil Composite Bond Fund Index,12.89,12.89,11.86,0.53,0.88,2.19,8.78,8.87,-,-,-,0,-,-,-,-,-,-,3.33,-,-,5.75,5.88,13.21,-,0.98,Debt : FTP/FMP,null
HDFC Focused 30 Fund(G),Gopal Agrawal,EQ-MLC,1,650.4,2.72,Open Ended,17-Sep-04,NIFTY 500 - TRI,86.59,93.06,53.94,-4.68,2,30.39,55.66,4.31,2.54,8.8,7.54,21.85,30,129740,71.76,10.92,9.87,Financials,-,-,-,4.31,2.41,3.99,0.9,20.44,Equity : Multi Cap,1% on or before 1Y Nil after 1Y
HDFC Gilt Fund(G),Anil Bamboli,DT-GILT,1,1650.5,0.89,Open Ended,25-Jul-01,Crisil Gilt Index,43.49,44.06,40.77,1.44,-0.75,0.57,7.33,8.19,7.46,7.22,8.13,0,-,-,-,-,-,-,6.04,4.25,5.54,4.69,1.61,2.84,-,2.89,Debt : Gilt,Nil
HDFC Growth Opp Fund-Reg(G),Gopal Agrawal,EQ-L&M,3,2014,2.54,Open Ended,18-Feb-94,Nifty LargeMidcap 250 Index - TRI,143.74,153.62,82.39,-4.64,3.95,33.35,69.84,10.79,9.84,11.78,8.41,10.42,61,75907,52.67,36.69,6.2,Financials,-,-,-,14.62,2.89,4.59,0.87,20.12,Equity : Large & Mid Cap,1% on or before 1Y Nil after 1Y
HDFC Housing Opp Fund-Reg(G),Rakesh Vyas,EQ-INFRA,Unrated,1917.9,2.04,Open Ended,6-Dec-17,India Housing & Allied Businesses Index,10.28,11.13,6.26,-6.12,2.69,31.31,55.98,2.71,1.51,-,-,8.91,39,84232,74.2,6.67,17.02,Financials,-,-,-,3.38,2.33,3.83,0.95,21.91,Equity : Sectoral - Infrastructure,1% on or before 1Y Nil after 1Y
HDFC Hybrid Debt Fund(G),Prashant Jain,HY-DT(CO),3,2434.4,1.89,Open Ended,26-Dec-03,NIFTY 50 Hybrid Composite Debt 15:85 Index,53.7,54.24,43.82,-0.55,1.12,10.68,20.88,8.39,7.16,8.41,8.75,0,35,80329,16.8,3.03,3.43,Financials,3.88,2.91,6.86,18.72,3.2,5.26,-,5.92,Hybrid : Debt Oriented (Conservative),Nil for 15% of investment and 1% for remaining Investment on or before 1Y Nil after 1Y
HDFC Hybrid Equity Fund(G),Chirag Setalvad,HY-EQ,2,17309.4,1.79,Open Ended,6-Apr-05,NIFTY 50 Hybrid Composite Debt 65:35 Index,66.3,69.79,43.38,-3.29,1.81,22.7,52.02,9.93,7.35,11.23,8.39,6.99,38,147780,57.34,6.62,9.22,Financials,2.17,1.71,5.52,44.63,2.91,4.9,-,15.45,Hybrid : Equity Oriented,Nil upto 15% of Units For excess Units 1% on or before 1Y and Nil after 1Y
HDFC Income Fund(G),Shobhit Mehrotra,DT-M&LD,2,689.8,2.22,Open Ended,11-Sep-00,NIFTY Medium to Long Term Debt Index,46.7,47.01,43.5,1.31,-0.43,1.16,7.61,7.91,6.84,6.41,7.44,0,-,-,-,-,-,-,6.75,4.48,6.05,4.71,1.74,2.97,-,2.72,Debt : Medium to Long Duration,0.25% on or before 1M Nil after 1M
HDFC Index Fund-NIFTY 50 Plan(G)(Post Addendum),Krishan Daga,EQ-INDX,Unrated,2749.6,0.3,Open Ended,17-Jul-02,NIFTY 50 - TRI,132.89,140.17,80.44,-3.49,-0.28,21.86,62.03,11.41,12.13,13.87,10.01,20.44,50,350228,101.35,-,-,Financials,-,-,-,4.38,2.61,4.29,0.97,20.34,Equity : Index Funds,0.25% on or before 3D Nil after 3D
HDFC Index Fund-Sensex(G)(Post Addendum),Krishan Daga,EQ-INDX,Unrated,2063,0.3,Open Ended,17-Jul-02,S&P BSE SENSEX - TRI,433.5,465.55,266.52,-4.46,-1.85,19.66,59.06,11.69,13.04,14.44,10.27,28.87,30,429071,100.28,-,-,Financials,-,-,-,1.01,2.45,4.05,1,20.85,Equity : Index Funds,0.25% on or before 3D Nil after 3D
HDFC Infrastructure Fund(G),Rakesh Vyas,EQ-INFRA,1,537,2.58,Open Ended,10-Mar-08,NIFTY 500 - TRI,15.33,16.86,8.98,-7.58,2.86,42.28,61.07,-6.4,-7.9,1.29,2.36,23.13,39,23645,51.5,5.58,39.73,Financials,-,-,-,10,2.33,3.9,0.93,24.25,Equity : Sectoral - Infrastructure,1% on or before 1Y Nil after 1Y
HDFC Liquid Fund(G),Anupam Joshi,DT-LIQ,2,50852.3,0.3,Open Ended,17-Oct-00,Crisil Liquid Fund Index,4022.26,4022.26,3891.24,0.28,0.77,1.49,3.38,4.68,5.56,6.08,7.53,0,-,-,-,-,-,-,0.12,0.12,3.29,-0.45,-6.75,-7.06,-,0.07,Debt : Liquid,0.007% for Day 1 0.0065% on Day 2 0.0060% on Day 3 0.0055% on Day 4 0.0050% on Day 5 0.0045% on Day 6 NIL after 7D
HDFC Long Term Adv Fund(G),Chirag Setalvad,EQ-ELSS,2,1276.5,-,Open Ended,2-Jan-01,S&P BSE SENSEX - TRI,448.37,478.93,264.65,-4.5,2.51,28.14,67.06,10.35,9.64,14.23,12.22,24.81,25,143503,76.14,0.94,20.11,Financials,-,-,-,10.23,2.83,4.74,0.93,20.04,Equity : Tax Saving (ELSS),Nil
HDFC Low Duration Fund(G),Anupam Joshi,DT-LOWD,3,19554.5,1.04,Open Ended,18-Nov-99,NIFTY Low Duration Debt Index,45.09,45.09,41.94,0.48,0.58,2.28,7.44,7.21,7.13,7.16,7.77,0,-,-,-,-,-,-,2.31,0.92,5.09,4.51,5.05,8.66,-,0.9,Debt : Low Duration,Nil
HDFC Medium Term Debt Fund(G),Shobhit Mehrotra,DT-MD,4,3031.3,1.32,Open Ended,6-Feb-02,NIFTY Medium Duration Debt Index,43.55,43.55,39.66,1.3,0.72,3.11,9.22,8.68,7.9,7.83,8.39,0,-,-,-,-,-,-,3.89,2.93,6.9,6.17,2.92,4.58,-,2.12,Debt : Medium Duration,Nil
HDFC Mid-Cap Opportunities Fund(G),Chirag Setalvad,EQ-MID,2,26471.1,1.79,Open Ended,25-Jun-07,Nifty Midcap 100 - TRI,72.81,75.76,40.63,-2.81,6.95,34.78,79.97,13.59,7.54,14.41,16.62,10.24,72,17827,10.3,63.7,21.65,Financials,-,-,-,30.34,3.49,5.88,0.66,18.21,Equity : Mid Cap,1% on or before 1Y Nil after 1Y
HDFC Money Market Fund(G),Anil Bamboli,DT-MM,3,11248.6,0.35,Open Ended,3-Jan-00,Nifty Money Market Index,4423.51,4423.51,4176.92,0.42,0.95,1.84,5.94,6.57,7.03,6.93,7.96,0,-,-,-,-,-,-,0.52,0.52,3.97,3.05,4.92,11.23,-,0.62,Debt : Money Market,Nil
HDFC Multi-Asset Fund(G),Amit Ganatra,HY-MULTI,Unrated,722.8,2.42,Open Ended,17-Aug-05,NIFTY 50 Hybrid Composite Debt 65:35 Index,41.13,41.88,28.66,-0.26,-0.4,12.48,42.5,12.47,9.47,9.62,9.6,46.81,66,139483,51.59,8.24,6.03,Financials,-,0.18,5.8,37.8,3.04,5.29,-,12.57,Hybrid : Multi Asset Allocation,Nil upto 15% of units For remaining units 1% or or before 12M Nil after 12M
HDFC Nifty 50 ETF,Krishan Daga,EQ-ETF,Unrated,841.5,0.05,Open Ended,9-Dec-15,NIFTY 50 - TRI,153.66,1619.8,151.6,-3.46,-0.18,22.07,62.67,11.91,12.61,14.34,-,18.18,50,350229,99.96,-,-,Financials,-,-,-,4.74,2.62,4.32,0.97,20.37,Equity : ETFs,null
HDFC Overnight Fund(G),Anil Bamboli,DT-ON,3,12982.3,0.2,Open Ended,6-Feb-02,CRISIL Overnight Index,3043.77,3043.77,2957.65,0.26,0.73,1.44,2.92,3.93,4.68,5.21,6.54,0,-,-,-,-,-,-,0.01,0.01,3.41,-0.35,-5.67,-7.55,-,0.06,Debt : Overnight,Nil
HDFC Retirement Savings Fund-Equity Plan-Reg(G),Chirag Setalvad,HY-SOL,3,1392.1,2.38,Open Ended,25-Feb-16,NIFTY 500 - TRI,22.15,23.11,13.09,-2.53,4.24,27.72,68.47,12.82,8.93,14.6,-,14.92,65,45530,45.36,11.47,36.96,Financials,-,-,-,56.04,3.32,5.52,-,16.98,Hybrid : Solution Oriented,NIL - Upon completion of Lock-in Period
HDFC Retirement Savings Fund-Hybrid-Debt Plan-Reg(G),Chirag Setalvad,HY-SOL,3,116,2.47,Open Ended,25-Feb-16,NIFTY 50 Hybrid Composite Debt 15:85 Index,15.4,15.48,13.28,0.65,1.02,6.56,15.89,8.65,6.74,8.21,-,0,44,22189,6.18,0.74,6.86,Financials,6.01,3.72,5.76,13.36,4.12,7.66,-,3.26,Hybrid : Solution Oriented,NIL - Upon completion of Lock-in Period
HDFC Retirement Savings Fund-Hybrid-Equity Plan-Reg(G),Chirag Setalvad,HY-SOL,3,576.9,2.46,Open Ended,25-Feb-16,NIFTY 50 Hybrid Composite Debt 65:35 Index,21.27,21.93,13.99,-2.12,2.99,21.11,50.83,11.71,10,14.02,-,16.2,51,62229,37.13,5.6,22.48,Financials,4.28,2.69,5.64,42.11,3.22,5.33,-,13.15,Hybrid : Solution Oriented,NIL - Upon completion of Lock-in Period
